"PartNum","alpha","alphapos","alphaneg","alphagain","alphaloss","rho","rhogain","rholoss","BIC","LogLikel"
1,0.14164125796902,NA,NA,NA,NA,NA,0,0.186694774459106,189.07338675825,-87.2586479832456
10,0.149868599812519,NA,NA,NA,NA,NA,0,0.361089729956804,196.651826830531,-91.0478680193859
11,1,NA,NA,NA,NA,NA,1,0.258935313308785,199.902297734897,-92.6731034715688
12,0.00075591221749851,NA,NA,NA,NA,NA,0.651971359954268,0.703109629743453,198.218564698376,-91.8312369533085
13,1,NA,NA,NA,NA,NA,0,0.363640680368835,198.278371246498,-91.8611402273694
14,1,NA,NA,NA,NA,NA,1,0.403608557550685,190.681945101976,-88.0629271551087
15,0.652536505887474,NA,NA,NA,NA,NA,1,0.235278294823793,199.964761097124,-92.7043351526827
16,0.390928902750622,NA,NA,NA,NA,NA,0.10627795219276,0,198.965729499946,-92.2048193540935
17,0.0937952959147115,NA,NA,NA,NA,NA,0,0.0812591044409851,198.551576149689,-91.997742678965
18,0.00480265161571945,NA,NA,NA,NA,NA,1,0.78841026004053,198.384839006904,-91.9143741075723
19,1,NA,NA,NA,NA,NA,0,0.887094174546273,193.874603513429,-89.6592563608351
2,1,NA,NA,NA,NA,NA,1,0.129196640675945,197.435403826814,-91.4396565175278
20,0.159073627161215,NA,NA,NA,NA,NA,0.276001633072304,0.00460100800978936,196.399727611674,-90.9218184099576
21,1,NA,NA,NA,NA,NA,1,0.157916788789765,195.805201013276,-90.6245551107586
22,1,NA,NA,NA,NA,NA,1,0.191553179763619,197.924787778861,-91.6843484935513
23,1,NA,NA,NA,NA,NA,0,0.757942027257341,197.49626364685,-91.4700864275457
24,1,NA,NA,NA,NA,NA,1,0,197.996923122816,-91.7204161655286
25,1,NA,NA,NA,NA,NA,0.083516211880388,1,190.625415629319,-88.0346624187802
26,1,NA,NA,NA,NA,NA,1,0,198.822340766098,-92.1331249871694
27,0.487036896959981,NA,NA,NA,NA,NA,1,0.663531064173895,196.856051694563,-91.1499804514019
28,1,NA,NA,NA,NA,NA,1,0,199.344245476064,-92.3940773421528
29,1,NA,NA,NA,NA,NA,0.100003086383686,0.151618005263611,194.179648013404,-89.8117786108226
3,0.0149659478037546,NA,NA,NA,NA,NA,0,0.2133410556217,199.373104952191,-92.4085070802159
30,0.895913973602281,NA,NA,NA,NA,NA,1,0,198.073760775002,-91.7588349916215
31,1,NA,NA,NA,NA,NA,0,0.0770447564755279,188.782191292322,-87.1130502502818
32,0.0851839002007286,NA,NA,NA,NA,NA,1,0.508848672269066,195.252240383903,-90.3480747960722
33,0.100629387919182,NA,NA,NA,NA,NA,1,1,200.059439511232,-92.7516743597365
34,0.0756164078008698,NA,NA,NA,NA,NA,0,0.144070886383167,199.738259525789,-92.5910843670148
35,1,NA,NA,NA,NA,NA,0,1,199.531106747703,-92.4875079779718
36,1,NA,NA,NA,NA,NA,1,0.620867089409932,195.815843912717,-90.6298765604791
37,0.973785926796435,NA,NA,NA,NA,NA,1,0,196.985836570378,-91.2148728893097
38,1,NA,NA,NA,NA,NA,0,1,193.229208019072,-89.3365586136567
39,0.356445839234418,NA,NA,NA,NA,NA,0,1,199.970506536295,-92.7072078722678
4,0.300689290827735,NA,NA,NA,NA,NA,0.954512214047092,1,198.870244282865,-92.1570767455528
5,0.0855334274139401,NA,NA,NA,NA,NA,0,0.179649915562821,197.403894152201,-91.423901680221
6,0.00727660223613377,NA,NA,NA,NA,NA,1,0.686110657972691,196.296075292631,-90.869992250436
7,0.22499102287296,NA,NA,NA,NA,NA,1,0.455297314598877,199.16800482203,-92.3059570151358
8,0.985611860819668,NA,NA,NA,NA,NA,0,0.158570585202809,193.844700951173,-89.6443050797072
9,0.000889676047390602,NA,NA,NA,NA,NA,0.0867005413461044,0.455162516741273,198.319631642415,-91.8817704253279
